input,cores,run1,run2,run3
30000,1,273571774 -> 17.28,273571774 -> 16.71,273571774 -> 16.87
30000,2,273571774 -> 8.98,273571774 -> 8.98,273571774 -> 8.96
30000,4,273571774 -> 4.68,273571774 -> 4.70,273571774 -> 4.66
30000,8,273571774 -> 3.32,273571774 -> 3.30,273571774 -> 3.30
30000,12,273571774 -> 3.28,273571774 -> 3.29,273571774 -> 3.29
30000,16,273571774 -> 3.26,273571774 -> 3.25,273571774 -> 3.27
30000,20,273571774 -> 3.26,273571774 -> 3.30,273571774 -> 3.25
30000,24,273571774 -> 3.37,273571774 -> 3.34,273571774 -> 3.26
30000,28,273571774 -> 3.26,273571774 -> 3.26,273571774 -> 3.25
30000,32,273571774 -> 3.25,273571774 -> 3.30,273571774 -> 3.27
30000,36,273571774 -> 3.22,273571774 -> 3.31,273571774 -> 3.24
30000,40,273571774 -> 3.25,273571774 -> 3.25,273571774 -> 3.28
30000,44,273571774 -> 3.30,273571774 -> 3.27,273571774 -> 3.27
30000,48,273571774 -> 3.25,273571774 -> 3.25,273571774 -> 3.39
30000,52,273571774 -> 3.33,273571774 -> 3.25,273571774 -> 3.29
30000,56,273571774 -> 3.27,273571774 -> 3.30,273571774 -> 3.27
30000,60,273571774 -> 3.41,273571774 -> 3.33,273571774 -> 3.25
30000,64,273571774 -> 3.25,273571774 -> 3.28,273571774 -> 3.26
