input,cores,run1,run2,run3
15000,1, 11.75s,11.75s,11.73s
15000,2, 8.70s,8.53s,8.81s
15000,4, 17.57s,18.81s,17.44s
15000,8, 24.27s,23.81s,23.88s
15000,12, 14.09s,14.02s,13.84s
15000,16, 13.88s,14.37s,14.65s
15000,20, 14.20s,14.02s,13.96s
15000,24, 15.04s,15.11s,15.14s
15000,28, 15.31s,15.17s,15.27s
15000,32, 15.82s,14.96s,14.92s
15000,36, 19.01s,18.73s,18.45s
15000,40, 19.24s,19.46s,18.69s
15000,44, 18.91s,18.51s,19.28s
15000,48, 19.05s,19.05s,18.84s
15000,52, 18.87s,18.48s,18.47s
15000,56, 18.55s,19.06s,19.07s
15000,60, 18.91s,19.01s,19.13s
15000,64, 18.83s,18.68s,18.72s
30000,1, 49.69s,49.64s,49.68s
30000,2, 35.57s,35.81s,35.57s
30000,4, 75.71s,74.85s,76.36s
30000,8, 97.02s,97.83s,97.87s
30000,12, 57.17s,57.96s,57.93s
30000,16, 56.86s,56.86s,57.42s
30000,20, 56.79s,57.46s,57.81s
30000,24, 60.27s,61.82s,63.82s
30000,28, 61.56s,61.13s,64.85s
30000,32, 60.42s,61.37s,60.98s
30000,36, 73.95s,74.87s,74.14s
30000,40, 75.39s,75.88s,75.96s
30000,44, 76.21s,77.35s,76.10s
30000,48, 76.86s,75.99s,77.50s
30000,52, 75.36s,75.52s,76.47s
30000,56, 77.23s,75.97s,76.47s
30000,60, 75.94s,76.31s,76.20s
30000,64, 76.11s,76.83s,76.15s
100000,1,  208.21s, 206.57s, 206.72s
100000,2, 110.93s,110.82s,110.93s
100000,4, 57.76s,57.65s,57.76s
100000,8, 40.68s,40.77s,40.97s
100000,12, 40.22s,40.53s,40.34s
100000,16, 40.16s,40.34s,40.14s
100000,20, 40.19s,40.11s,40.18s
100000,24, 40.20s,40.09s,40.18s
100000,28, 40.35s,40.30s,40.42s
100000,32, 40.32s,40.73s,40.94s
100000,36, 40.33s,40.19s,40.19s
100000,40, 40.21s,40.24s,40.27s
100000,44, 40.69s,40.52s,40.25s
100000,48, 40.21s,40.34s,40.08s
100000,52, 40.24s,40.59s,40.42s
100000,56, 40.35s,40.45s,40.11s
100000,60, 40.50s,40.14s,40.42s
100000,64, 40.43s,40.21s,40.17s
