input,cores,run1,run2,run3
15000,1,10.68, 10.71,10.68
15000,2,8.39,8.41,8.40
15000,4,5.19,5.20,5.23
15000,8,3.14,3.10,3.13
15000,12,1.85,1.80,1.97
15000,16,1.44,1.40,1.42
15000,20,1.20,1.17,1.17
15000,24,1.04,0.99,1.01
15000,28,0.85,0.85,0.88
15000,32,0.75,0.74,0.73
15000,36,0.69,0.78,0.75
15000,40,0.71,0.70,0.69
15000,44,0.65,0.64,0.61
15000,48,0.59,0.58,0.59
15000,52,0.55,0.54,0.53
15000,56,0.48,0.48,0.48
15000,60,0.49,0.47,0.48
15000,64,0.45,0.44,0.43
30000,1,45.56,45.50,45.49
30000,2,35.76,35.83,35.72
30000,4,22.03,22.17,22.01
30000,8,13.27,13.09,13.11
30000,12,7.75,7.77,7.79
30000,16,5.94,6.01,6.11
30000,20,4.95,4.98,4.83
30000,24,4.25,4.23,4.15
30000,28,3.61,3.60,3.61
30000,32,3.12,3.15,3.17
30000,36,3.20,3.14,3.23
30000,40,2.90,2.85,2.95
30000,44,2.62,2.54,2.60
30000,48,2.41,2.40,2.40
30000,52,2.20,2.14,2.22
30000,56,2.06,2.04,2.04
30000,60,1.93,1.94,1.92
30000,64,1.77,1.81,1.83
100000,1,565.06,564.91,566.51
100000,2,513.56,509.11,510.32
100000,4,697.34,693.71,696.45
100000,8,1281.84,1285.34,1279.67
100000,12,678.42,681.93,680.02
100000,16,664.64,660.38,661.86
100000,20,60.27,57.69,60.07
100000,24,51.06,50.73,51.43
100000,28,44.39,43.75,43.68
100000,32,38.63,39.31,38.76
100000,36,37.94,37.41,38.22
100000,40,34.11,35.18,35.26
100000,44,31.44,31.15,31.25
100000,48,29.19,28.84,29.36
100000,52,26.22,27.07,25.93
100000,56,24.61,25.47,24.47
100000,60,23.04,23.22,23.01
100000,64,21.87,21.76,21.75
